Type,STORE ADDRESS,CITY,STATE,ZIP CODE,Latitude,Longitude,Location
Store,25225 Schoenherr Rd,Warren,MI,48089,42.480067,-82.988338,"42.480067, -82.988338"
Store,4303 Kent Road,Stow,OH,44224,41.156886,-81.40686,"41.156886, -81.40686"
Store,1810 Nagel Road,Avon,OH,44011,41.461344,-81.991649,"41.461344, -81.991649"
Store,9200 Mentor Ave,Mentor,OH,44060,41.675852,-81.308984,"41.675852, -81.308984"
Store,4665 South Green Ave,Freemont,MI,49412,43.469677,-85.979733,"43.469677, -85.979733"
Store,1540 28th Street S.E.,Grand Rapids,MI,49508,42.910851,-85.629203,"42.910851, -85.629203"
Store,3757 Plainfield Avenue N.E.,Grand Rapids,MI,49525,43.033856,-85.628103,"43.033856, -85.628103"
Store,541 Puri Parkway,Sycamore,IL,60178,41.98500177,-88.71204377,"41.9850017714845, -88.7120437742958"
Store,4242 East Dupont Road,Fort Wayne,IN,48825,41.177747,-85.091437,"41.177747, -85.091437"
Store,100 Pigeon Rd,Bad Axe,MI,48413,43.823477,-83.017425,"43.823477, -83.017425"
Store,2191 Columbia Avenue West,Battle Creek,MI,49015,42.297196,-85.237193,"42.297196, -85.237193"
Store,247 Tallmadge Rd,Kent,OH,44240,41.10054,-81.384602,"41.10054, -81.384602"
Store,5350 Leavitt Rd,Lorain,OH,44053,41.419945,-82.212176,"41.419945, -82.212176"
Store,225 W Spring Mill Pointe Dr,Westfield,IN,46074,40.039996,-86.162679,"40.039996, -86.162679"
Store,1400 Boardman Canfield Rd,Boardman,OH,44512,41.024781,-80.703807,"41.024781, -80.703807"
Store,7701 Broadview Rd,Seven Hills,OH,44131,41.356477,-81.682831,"41.356477, -81.682831"
Store,3800 Center Road,Brunswick,OH,44212,41.238109,-81.822339,"41.238109, -81.822339"
Store,6200 S. Pennsylvania Avenue,Lansing,MI,48911,42.667436,-84.53902,"42.667436, -84.53902"
Store,4934 Fulton Drive,Canton,OH,44718,40.846917,-81.441195,"40.846917, -81.441195"
Store,3691 M-55,West Branch,MI,48661,42.151835,-85.223465,"42.151835, -85.223465"
Store,2500 Cassopolis Street,Elkhart,IN,46514,41.719655,-85.971543,"41.719655, -85.971543"
Store,2100 Niles Cortland Rd SE,Warren,OH,44484,41.214206,-80.743853,"41.214206, -80.743853"
Store,4845 Burbank Rd,Wooster,OH,44691,40.859186,-81.949601,"40.859186, -81.949601"
Store,2500 West State Street ,Alliance,OH,44601,40.900021,-81.15501,"40.900021, -81.15501"
Store,1505 North Main Street ,North Canton,OH,44720,40.892515,-81.407876,"40.892515, -81.407876"
Store,3600 West Carleton Road ,Hillsdale,MI,49242,41.949292,-84.655894,"41.949292, -84.655894"
Store,5800 Mahoning Ave,Austintown,OH,44515,41.01088,-80.770396,"41.01088, -80.770396"
Store,1105 N Court Street,Medina,OH,44256,41.158187,-81.866372,"41.158187, -81.866372"
Store,5155 Wilson Mills Rd,Richmond Heights,OH,44143,41.539155,-81.495219,"41.539155, -81.495219"
